description,industry,level,size,line_code,value
To what extent does this business promote a set of company values to its employees? a little amount,Other services,1,total,C0800_02,207
To what extent does this business promote a set of company values to its employees? a little amount,total,0,total,C0800_02,5655
To what extent does this business promote a set of company values to its employees? a moderate amount,total,0,6–19 employees,C0800_03,10929
To what extent does this business promote a set of company values to its employees? a moderate amount,total,0,20–49 employees,C0800_03,2739
To what extent does this business promote a set of company values to its employees? a moderate amount,total,0,50–99 employees,C0800_03,699
To what extent does this business promote a set of company values to its employees? a moderate amount,total,0,100+ employees,C0800_03,537
To what extent does this business promote a set of company values to its employees? a moderate amount,"Agriculture, forestry, & fishing",1,total,C0800_03,1302
To what extent does this business promote a set of company values to its employees? a moderate amount,Agriculture,2,total,C0800_03,912
To what extent does this business promote a set of company values to its employees? a moderate amount,Commercial fishing,2,total,C0800_03,15
To what extent does this business promote a set of company values to its employees? a moderate amount,Forestry & logging,2,total,C0800_03,63
To what extent does this business promote a set of company values to its employees? a moderate amount,"Agriculture, forestry, & fishing support services",2,total,C0800_03,315
To what extent does this business promote a set of company values to its employees? a moderate amount,Mining,1,total,C0800_03,30
To what extent does this business promote a set of company values to its employees? a moderate amount,Manufacturing,1,total,C0800_03,1893
To what extent does this business promote a set of company values to its employees? a moderate amount,"Food, beverage, & tobacco",2,total,C0800_03,327
To what extent does this business promote a set of company values to its employees? a moderate amount,"Textile, clothing, footwear, & leather",2,total,C0800_03,120
To what extent does this business promote a set of company values to its employees? a moderate amount,Wood & paper product,2,total,C0800_03,171
